"NAME","Year","Total_Avg_Annual_Pay_Total","Total_Avg_Annual_Pay_Black_Business","Total_Avg_Employees_Total","Total_Avg_Employees_Black_Business","Total_Sum_of_Firms_Total","Total_Sum_of_Firms_Black_Business"
"Abilene, TX Metro Area",2018,37684.4991482112,0,1065.8926746167,1,46730,0
"Abilene, TX Metro Area",2019,13084.9194630872,0,376.921140939597,1,14845,0
"Abilene, TX Metro Area",2020,52081.6717948718,0,1247.09230769231,0,58772,0
"Abilene, TX Metro Area",2021,25163.1259968102,0,578.226475279107,1,29986,0
"Akron, OH Metro Area",2018,266594.914196568,0,6275.76599063963,1,255155,0
"Akron, OH Metro Area",2019,240572.184419714,0,5428.41653418124,1,229170,0
"Akron, OH Metro Area",2020,296681.782032401,10573.5555555556,5977.81296023564,273.740740740741,294456,749
"Akron, OH Metro Area",2021,394375.267164179,8278.34782608696,6720.47910447761,265.130434782609,359019,1047
"Albany, GA Metro Area",2018,15250.7815442561,0,376.058380414313,1,11260,0
"Albany, GA Metro Area",2019,18485.5705882353,0,442.378431372549,1,14192,0
"Albany, GA Metro Area",2020,17378.8301559792,3571,403.854419410745,110.8,12954,473
"Albany, GA Metro Area",2021,19083.2608695652,3510.28,409.244147157191,87.4,15499,438
"Albany, OR Metro Area",2018,18708.9596153846,0,447.876923076923,0,15331,0
"Albany, OR Metro Area",2019,43191.6895874263,0,880.573673870334,1,32857,0
"Albany, OR Metro Area",2020,39044.0291595197,765,835.108061749571,18.4,49711,3
"Albany, OR Metro Area",2021,52279.3368606702,1265.23076923077,1014.04938271605,25.9230769230769,50069,31
"Albany-Schenectady-Troy, NY Metro Area",2018,317291.271084337,0,6622.68825301205,1,373343,0
"Albany-Schenectady-Troy, NY Metro Area",2019,329750.881996974,0,6722.94402420575,1,352098,0
"Albany-Schenectady-Troy, NY Metro Area",2020,382451.293865906,322.653846153846,8259.84736091298,18.3076923076923,502015,8
"Albany-Schenectady-Troy, NY Metro Area",2021,324059.165963432,6807,6253.14205344585,171.148148148148,488363,1393
"Albuquerque, NM Metro Area",2018,223873.929238985,0,5470.87316421896,1,341844,0
"Albuquerque, NM Metro Area",2019,259771.495238095,0,6405.75102040816,1,354055,0
"Albuquerque, NM Metro Area",2020,284964.583544304,5826.88461538462,7136.23670886076,207.807692307692,411856,624
"Albuquerque, NM Metro Area",2021,347789.475409836,4644.92592592593,7114.69609079445,239.259259259259,489738,234
"Alexandria, LA Metro Area",2018,37337.6900369004,0,1222.14206642066,1,44742,0
"Alexandria, LA Metro Area",2019,28637.5837837838,0,701.389189189189,1,35097,0
