"NAME","Year","Total_Avg_Annual_Pay_Total","Total_Avg_Annual_Pay_Black_Business","Total_Avg_Employees_Total","Total_Avg_Employees_Black_Business","Total_Sum_of_Firms_Total","Total_Sum_of_Firms_Black_Business"
"Alabama",2018,412944.758109177,10499.9526184539,10087.3265427215,383.451371571072,3520990,15189
"Alabama",2019,402946.439873418,15688.1895424837,9790.51566455696,476.174291938998,3961408,25471
"Alabama",2020,329407.672256251,12603.2823129252,7712.59162566523,377.66156462585,5432563,35329
"Alabama",2021,354090.062211094,17933.8120805369,7488.8562211094,535.771812080537,5474867,41748
"Alaska",2018,79553.1406428083,687.046153846154,1369.31980852519,21.7897435897436,679557,1005
"Alaska",2019,73502.417679558,781.078048780488,1201.94475138122,28.1658536585366,699012,638
"Alaska",2020,56137.237222758,1535.54222222222,1055.10655737705,64.16,995232,819
"Alaska",2021,69872.0009610764,2830.10486891386,1084.36340701586,94.7303370786517,1122293,2871
"Arizona",2018,544699.924389828,8668.13959390863,13065.7578084997,314.03807106599,5672502,16270
"Arizona",2019,546099.395833333,3920.65706806283,12236.788590604,133.416230366492,6412406,7132
"Arizona",2020,462981.41245068,10975.3783231084,10247.823849189,365.930470347648,9283521,11394
"Arizona",2021,507405.856106512,16079.2918149466,10234.8842707178,518.20640569395,9829337,27437
"Arkansas",2018,218946.092612082,2895.65602836879,5862.16143969691,90.8049645390071,2304328,6036
"Arkansas",2019,207376.670377139,8648.01497005988,5409.23857783685,204.020958083832,2650362,9575
"Arkansas",2020,185725.303049488,465.623222748815,4690.03619288804,17.0355450236967,3586131,1783
"Arkansas",2021,203363.437901827,3529.16367265469,4776.20400040821,97.5528942115768,3906888,14198
"California",2018,3761167.52406565,113012.183864916,69350.9328368501,2387.91181988743,42169235,190300
"California",2019,3820290.6951509,99597.8283931357,65289.9541087374,2225.72386895476,48130516,203596
"California",2020,3411042.39276149,115686.215809285,56422.7425986247,2391.28858218319,69296372,275076
"California",2021,3843964.50629921,145137.092436975,52106.7297780959,2567.06482593037,71365891,331144
"Colorado",2018,629665.066413662,1142.20658682635,13056.7593582888,26.4520958083832,7341525,2762
"Colorado",2019,592036.322038606,6080.86034912718,11611.7067074018,182.576059850374,8429554,15269
"Colorado",2020,492462.877589119,8496.49896907216,9773.57738465641,192.505154639175,11757181,11899
"Colorado",2021,560560.319694868,15942.8212180747,9591.3480409154,404.406679764244,12248752,22021
"Connecticut",2018,490768.424964073,1587.67796610169,8564.15664134675,50.9220338983051,3424674,3973
"Connecticut",2019,402714.101149425,1467.53739612188,7741.71280788177,53.7950138504155,3782176,3568
"Connecticut",2020,297491.697553743,9836.86247086247,5620.3459705602,305.156177156177,4285893,10323
"Connecticut",2021,390694.222163976,13660.2796610169,6396.51058922206,348.358050847458,5482179,27343
"Delaware",2018,105628.109794989,1032.46843853821,2106.61435079727,22.0697674418605,786340,1978
"Delaware",2019,98924.7089858315,4498.0409556314,2022.93959731544,141.870307167235,1002490,5438
"Delaware",2020,94641.0625598086,3132.68637532134,1785.26555023923,121.516709511568,1251876,5908
"Delaware",2021,114374.145516459,3918.80487804878,1878.55856980704,100.609756097561,1605656,12158
"District of Columbia",2018,171616.029092702,27809.8847117795,2361.77243589744,626.240601503759,619258,17158
"District of Columbia",2019,168334.564429807,23221.4229828851,2228.82873610539,555.359413202934,705286,22918
"District of Columbia",2020,156518.088115617,29260.8809073724,2130.26687245685,631.355387523629,918494,24779
"District of Columbia",2021,187338.086644592,38081.4325323475,1961.73178807947,628.894639556377,1069315,33304
"Florida",2018,1587625.32812965,63214.8504854369,38763.004014273,2392.38446601942,25541873,219897
"Florida",2019,1680845.74406991,68007.9295081967,38869.4722846442,1995.62786885246,28827448,223694
"Florida",2020,1348260.72067124,59414.1900121803,30892.0983981693,1915.1425091352,41985020,293626
"Florida",2021,1513893.17439079,83459.1355735805,30566.5011212438,2392.86210892236,44503401,402863
"Georgia",2018,877387.530173138,52977.0298210736,19891.7581106068,2043.41351888668,9708560,139161
